Id,tableId,rowIndex,status_bin,status_txt,status,status_code,predicted_prob,predicted_status_code,predicted_status_label,unresolved_prob,resolved_prob
1,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,Unresolved,Monitor in 2018.,Unresolved,0,[0.99224335 0.00775662],0,Unresolved,0.99224335,0.007756624
2,0114daa6-c048-4081-b4cf-7a9d7461fa44,2,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.99127674 0.00872322],0,Unresolved,0.99127674,0.008723219
3,0114daa6-c048-4081-b4cf-7a9d7461fa44,3,Unresolved,Remove erosion log.,Unresolved,0,[0.78426147 0.21573852],0,Unresolved,0.78426147,0.21573852
4,0114daa6-c048-4081-b4cf-7a9d7461fa44,4,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9905793  0.00942064],0,Unresolved,0.9905793,0.009420641
5,0114daa6-c048-4081-b4cf-7a9d7461fa44,5,Unresolved,Remove sediment fence.,Unresolved,0,[0.74150795 0.25849205],0,Unresolved,0.74150795,0.25849205
6,0114daa6-c048-4081-b4cf-7a9d7461fa44,6,Resolved – weed hand-pulled,None.,Resolved,1,[6.0324534e-04 9.9939680e-01],1,Resolved,0.000603245,0.9993968
7,0114daa6-c048-4081-b4cf-7a9d7461fa44,7,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9915788  0.00842119],0,Unresolved,0.9915788,0.008421193
8,0114daa6-c048-4081-b4cf-7a9d7461fa44,8,Unresolved,Monitor in 2018. Low vegetation establishment is consistent with Year 1 expectations.,Unresolved,0,[0.9925667  0.00743328],0,Unresolved,0.9925667,0.007433279
9,0114daa6-c048-4081-b4cf-7a9d7461fa44,9,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9911758  0.00882423],0,Unresolved,0.9911758,0.008824228
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,13,Unresolved,Repair and monitor in 2018.,Unresolved,0,[0.98906696 0.0109331 ],0,Unresolved,0.98906696,0.010933097
14,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,Resolved,Remove sediment fencing.,Resolved,1,[0.7736186  0.22638138],0,Unresolved,0.7736186,0.22638138
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,15,Unresolved,Monitor in 2018. No action required. Normal farming practices will control weeds.,Unresolved,0,[0.99027693 0.00972309],0,Unresolved,0.99027693,0.009723087
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,Unresolved,Repair erosion and monitor in 2018.,Unresolved,0,[0.9934737  0.00652623],0,Unresolved,0.9934737,0.006526234
17,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,Unresolved,Area has ongoing development. Monitor in 2018 and determine if landowner would like topsoil replaced.,Unresolved,0,[0.98874    0.01125999],0,Unresolved,0.98874,0.011259993
18,0114daa6-c048-4081-b4cf-7a9d7461fa44,18,Unresolved,Monitor in 2018. Land use is not affected.,Unresolved,0,[0.98704195 0.01295801],0,Unresolved,0.98704195,0.01295801
19,0114daa6-c048-4081-b4cf-7a9d7461fa44,19,Unresolved,Seed area and monitor in 2018. Control weeds as required.,Unresolved,0,[0.9856205  0.01437948],0,Unresolved,0.9856205,0.014379476
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,22,Unresolved,"Monitor in 2018. If compaction continues to affect vegetation establishment, mitigation may be required.",Unresolved,0,[0.99065804 0.0093419 ],0,Unresolved,0.99065804,0.009341902
23,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,Unresolved,Repair erosion and monitor in 2018.,Unresolved,0,[0.9916469  0.00835303],0,Unresolved,0.9916469,0.008353029
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,24,Unresolved,Monitor in 2018. Low vegetation establishment is consistent with Year 1 expectations.,Unresolved,0,[0.9910534  0.00894665],0,Unresolved,0.9910534,0.008946652
25,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,Unresolved,Monitor in 2018. No risk to the environment is currently posed.,Unresolved,0,[0.99115527 0.0088447 ],0,Unresolved,0.99115527,0.008844697
26,0114daa6-c048-4081-b4cf-7a9d7461fa44,26,Unresolved,Monitor in 2018. No action required. Normal farming practices will control weeds.,Unresolved,0,[0.98923266 0.01076727],0,Unresolved,0.98923266,0.01076727
27,0114daa6-c048-4081-b4cf-7a9d7461fa44,27,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9909423  0.00905768],0,Unresolved,0.9909423,0.009057677
28,0114daa6-c048-4081-b4cf-7a9d7461fa44,28,Unresolved,Monitor in 2018. Ponding is not affecting land use.,Unresolved,0,[0.9901342  0.00986584],0,Unresolved,0.9901342,0.009865844
29,0114daa6-c048-4081-b4cf-7a9d7461fa44,29,Resolved,None.,Resolved,1,[6.0030702e-04 9.9939966e-01],1,Resolved,0.000600307,0.99939966
30,0114daa6-c048-4081-b4cf-7a9d7461fa44,30,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9922283  0.00777164],0,Unresolved,0.9922283,0.00777164
31,0114daa6-c048-4081-b4cf-7a9d7461fa44,31,Unresolved,Monitor in 2018. Subsidence and ponding are not affecting land use or pipe integrity.,Unresolved,0,[0.9906076  0.00939232],0,Unresolved,0.9906076,0.00939232
32,0114daa6-c048-4081-b4cf-7a9d7461fa44,32,Resolved,None.,Resolved,1,[4.5900629e-04 9.9954104e-01],1,Resolved,0.000459006,0.99954104
33,0114daa6-c048-4081-b4cf-7a9d7461fa44,33,Resolved,None.,Resolved,1,[6.2377809e-04 9.9937624e-01],1,Resolved,0.000623778,0.99937624
34,0114daa6-c048-4081-b4cf-7a9d7461fa44,34,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.98806494 0.0119351 ],0,Unresolved,0.98806494,0.011935098
35,0114daa6-c048-4081-b4cf-7a9d7461fa44,35,Unresolved,Monitor in 2018. No action required. Normal farming practices will control weeds.,Unresolved,0,[0.9891509  0.01084907],0,Unresolved,0.9891509,0.010849065
36,0114daa6-c048-4081-b4cf-7a9d7461fa44,36,Unresolved,Repair erosion and monitor in 2018.,Unresolved,0,[0.9916534  0.00834666],0,Unresolved,0.9916534,0.008346663
37,0114daa6-c048-4081-b4cf-7a9d7461fa44,37,Resolved,None.,Resolved,1,[5.9558824e-04 9.9940443e-01],1,Resolved,0.000595588,0.99940443
40,0114daa6-c048-4081-b4cf-7a9d7461fa44,40,Unresolved,Monitor in 2018. Normal farming practices will control weeds.,Unresolved,0,[0.98987657 0.01012342],0,Unresolved,0.98987657,0.010123417
42,0114daa6-c048-4081-b4cf-7a9d7461fa44,42,Unresolved,Monitor in 2018. Land use is not affected,Unresolved,0,[0.9901012  0.00989874],0,Unresolved,0.9901012,0.009898745
726,2231e90e-53e1-4ad6-8300-e9543c8ce4da,1,Resolved,"- Leafy spurge present on construction right-of-way at KP 177.97 and KP 178.21 to KP 178.22. The plants, their root systems and the affected soil were excavated, loaded into trucks and transported to the Hardisty soil remediation site where oil contaminat",Resolved,1,[0.06160733 0.93839264],1,Resolved,0.06160733,0.93839264
727,2231e90e-53e1-4ad6-8300-e9543c8ce4da,2,Resolved,- Topsoil from a 20 m x 30 m area infested with yellow toadflax was salvaged and stockpiled separately from adjacent topsoils. During clean-up the topsoil was replaced over its preconstruction location. Equipment involved in topsoil salvage and replacemen,Resolved,1,[0.02932311 0.9706769 ],1,Resolved,0.029323108,0.9706769
728,2231e90e-53e1-4ad6-8300-e9543c8ce4da,3,Resolved,"- In order to protect sand millet, the work side was narrowed by ~5 m, no grading was allowed and a blade width of sod was salvaged and placed on straw matting. The sod was then replaced and straw from the matting was then spread over the replaced sod. Lo",Resolved,1,[0.00777107 0.9922289 ],1,Resolved,0.007771073,0.9922289
729,2231e90e-53e1-4ad6-8300-e9543c8ce4da,4,Resolved,"- The work side was narrowed by ~10 m, no grading was allowed and swamp mats were placed on the work side in order to protect little bluestem. Sod salvage was not feasible due to hummocky terrain. Straw was spread on the spoil side prior to trenching to a",Resolved,1,[0.00442272 0.99557734],1,Resolved,0.004422715,0.99557734
730,2231e90e-53e1-4ad6-8300-e9543c8ce4da,5,Resolved,- A backhoe was used to transplant sod in a 1 m radius of a Louisiana broom-rape site. - No rare plants were found during the 2002 post-construction monitoring program. - Hot and dry conditions. No rare plants found during the 2003 monitoring program. - C,Resolved,1,[0.00871436 0.9912856 ],1,Resolved,0.00871436,0.9912856
731,2231e90e-53e1-4ad6-8300-e9543c8ce4da,6,Resolved,- Stripping depth and width were minimized; and no grading was allowed in order to minimize impacts on awned or mountain mousetail and least mousetail. - Very dry conditions. No rare plants were found during the 2002 post-construction monitoring program. ,Resolved,1,[0.00456848 0.99543154],1,Resolved,0.004568479,0.99543154
732,2231e90e-53e1-4ad6-8300-e9543c8ce4da,7,Resolved,"- Stripping depth and width were minimized; and no grading was allowed in order to minimize impacts on narrow-leaved plantain and few-flowered aster. - One dead narrow-leaved plantain was found in fruit, but no few-flowered aster were found during the 200",Resolved,1,[0.0070963  0.99290365],1,Resolved,0.007096304,0.99290365
733,2231e90e-53e1-4ad6-8300-e9543c8ce4da,8,Resolved,"- Stripping depth and width were minimized; and no grading was allowed to minimize impacts on narrow-leaved plantain, awned or mountain mousetail, or least mousetail. - Very dry conditions. No rare plants located during the 2002 post-construction monitori",Resolved,1,[0.00628548 0.9937145 ],1,Resolved,0.006285476,0.9937145
734,2231e90e-53e1-4ad6-8300-e9543c8ce4da,9,Resolved,"- Upper leaf litter and duff/soil (1 cm) were salvaged separately from lower topsoil to preserve seed bank containing awned or mountain mousetail, least mousetail and narrow-leaved plantain. - Very dry conditions. No rare plants located during the 2002 po",Resolved,1,[0.01463745 0.9853625 ],1,Resolved,0.014637454,0.9853625
735,2231e90e-53e1-4ad6-8300-e9543c8ce4da,10,Resolved,#NAME?,Resolved,1,[0.00750726 0.99249274],1,Resolved,0.007507256,0.99249274
736,2231e90e-53e1-4ad6-8300-e9543c8ce4da,11,Resolved,- Sparse growth noted from 2004 overflight. - O&M crews will overseed in the fall (see Section 3.2.2).,Resolved,1,[0.2789239 0.7210761],1,Resolved,0.2789239,0.7210761
1873,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,589,RESOLVED,Resolved,Resolved,1,[6.562298e-04 9.993438e-01],1,Resolved,0.00065623,0.9993438
2331,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,1,Resolved,See Soil and Soil Productivity element,Resolved,1,[0.12631655 0.87368345],1,Resolved,0.12631655,0.87368345
2332,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,2,Resolved,Continue to monitor the re-establishment of ground cover during routine Operations and Maintenance activities.,Resolved,1,[0.9875185  0.01248148],0,Unresolved,0.9875185,0.012481476
2333,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,3,Unresolved,Continue to monitor the re-establishment of ground cover during routine Operations and Maintenance activities.,Unresolved,0,[0.9889116  0.01108837],0,Unresolved,0.9889116,0.011088368
2334,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,4,Unresolved,Repair and continue to monitor for trench settlement during routine Operations and Maintenance activities.,Unresolved,0,[0.98730415 0.0126959 ],0,Unresolved,0.98730415,0.012695901
2335,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,5,Unresolved,Stabilize drainage banks and continue to monitor for trench settlement during routine Operations and Maintenance activities.,Unresolved,0,[0.9887971 0.0112028],0,Unresolved,0.9887971,0.011202795
2336,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,6,Unresolved,Continue to monitor the re-establishment of low growing shrubs and grasses on the right-of-way during routine Operations and Maintenance activities.,Unresolved,0,[0.99273187 0.00726809],0,Unresolved,0.99273187,0.007268091
2337,5027e8a6-e6bc-43e1-bbeb-014fe4b9c12f,7,Resolved,See Vegetation element,Resolved,1,[0.07818247 0.92181754],1,Resolved,0.07818247,0.92181754
3438,93e99009-f868-4e36-9c30-d21c87bb1d7e,1,Resolved,The right-of-way was recontoured to restore the ? preconstruction grades and drainage channels along the remainder of the pipeline route. 8 m long scalped area observed along south boundary of ? right-of-way at inspection site 2.,Resolved,1,[0.03703304 0.9629669 ],1,Resolved,0.037033044,0.9629669
3439,93e99009-f868-4e36-9c30-d21c87bb1d7e,2,Resolved,Strippings were replaced over the stripped areas along the ? pipeline route. Unspread strippings were observed along the south side of ? the right-of-way at inspection site 3. Poorly-mixed and graded trench crown from inspection site 2 ? to 3.,Resolved,1,[0.02304228 0.9769577 ],1,Resolved,0.023042277,0.9769577
3440,93e99009-f868-4e36-9c30-d21c87bb1d7e,3,Resolved,A slight crown was left over the trench to compensate for ? settlement along the majority of the route. Excess crowning was observed along a segment near ? inspection site 1.,Resolved,1,[0.01445786 0.98554206],1,Resolved,0.014457862,0.98554206
3441,93e99009-f868-4e36-9c30-d21c87bb1d7e,4,Resolved,"The right-of-way and log deck sites were recontoured to ? restore the preconstruction grades and drainage channels.  Breaks were left in the crown at obvious drainages and areas ? where seepage occurs in order to minimize interference with natural drainage, and at sidehill locations along the right-of-way. All corduroy and geotextile matting along the right-of-way was ? removed post-construction in order to avoid interfering with natural drainage patterns and ensure adequate cross drainage across right-of-way.",Resolved,1,[0.02433574 0.97566426],1,Resolved,0.024335736,0.97566426
3442,93e99009-f868-4e36-9c30-d21c87bb1d7e,5,Resolved,No weeds of concern were identified during the PCM program. ?,Resolved,1,[0.00282577 0.99717426],1,Resolved,0.002825773,0.99717426
3443,93e99009-f868-4e36-9c30-d21c87bb1d7e,6,Resolved,"A Vegetation Assessment (TERA 2006) was undertaken ? along the pipeline route on August 29 and 30, 2006. One listed rare plant species, golden saxifrage (Chrysosplenium iowense) (S2S3), was observed during the survey. The area was fenced off prior to clearing and willows in the ? area were not cleared. The rare plant enclosure fencing and willows were stable at ? the time of the 2007 PCM, although golden saxifrage was not observed within the enclosure (inspection site 15). Impatiens sp. was observed at moderate densities from ? inspection site 13 to 14. Since a rare touch-me-not species, orange touch-me-not (Impatiens aurella) (S2S3), was discovered in this area previously (TERA 2006), and since these plants were lacking features necessary for identification, it cannot be discounted that these plants may be the rare species.",Resolved,1,[0.0094219 0.9905782],1,Resolved,0.009421904,0.9905782
3575,9e3e2be0-6379-4508-a39f-7238099bcbfd,1,Unresolved,"Repair during the winter months of 2011 when the area can be accessed by equipment during frozen conditions. Continue monitoring for trench subsidence and for excessive crown loss causing altered drainage patterns and recontour, where warranted.",Unresolved,0,[0.11925235 0.8807477 ],1,Resolved,0.11925235,0.8807477
3576,9e3e2be0-6379-4508-a39f-7238099bcbfd,2,Unresolved,"Repair during the winter months of 2011 when the area can be accessed by equipment during frozen conditions. Continue monitoring for trench subsidence and for excessive crown loss causing altered drainage patterns and recontour, where warranted.",Unresolved,0,[0.11575948 0.88424057],1,Resolved,0.11575948,0.88424057
3577,9e3e2be0-6379-4508-a39f-7238099bcbfd,3,Unresolved,"Broadcast seed with a native seed mix from KP 0.0 to KP 1.6 in spring 2011. Continue monitoring the establishment of native vegetation.  Control trees and shrubs, if necessary, to facilitate pipeline surveillance, by mechanical rather than chemical means.",Unresolved,0,[0.9820322 0.0179679],0,Unresolved,0.9820322,0.017967902
3578,9e3e2be0-6379-4508-a39f-7238099bcbfd,4,Resolved,None.,Resolved,1,[6.0101703e-04 9.9939895e-01],1,Resolved,0.000601017,0.99939895
3579,9e3e2be0-6379-4508-a39f-7238099bcbfd,5,Unresolved,See Vegetation element.,Unresolved,0,[0.21007451 0.78992546],1,Resolved,0.21007451,0.78992546
3580,9f441b71-4385-4f8a-93d8-169ee69073ec,1,Resolved,nan,Resolved,1,[0.03932718 0.96067274],1,Resolved,0.039327182,0.96067274
3581,9f441b71-4385-4f8a-93d8-169ee69073ec,2,Unresolved,Monitor in spring 2013 for vegetation establishment.,Unresolved,0,[0.991899   0.00810098],0,Unresolved,0.991899,0.008100981
3584,9f441b71-4385-4f8a-93d8-169ee69073ec,5,Resolved,nan,Resolved,1,[0.04279955 0.95720047],1,Resolved,0.042799547,0.95720047
3586,9f441b71-4385-4f8a-93d8-169ee69073ec,7,Resolved,nan,Resolved,1,[0.03390424 0.9660958 ],1,Resolved,0.033904243,0.9660958
3587,9f441b71-4385-4f8a-93d8-169ee69073ec,8,Unresolved,Kinder Morgan will assess site and develop a plan in conjunction with Alberta Transportation and Parks Canada.,Unresolved,0,[0.98665214 0.01334787],0,Unresolved,0.98665214,0.013347868
3588,9f441b71-4385-4f8a-93d8-169ee69073ec,9,Unresolved,Kinder Morgan to develop plan to re-establish channel and bank.,Unresolved,0,[0.9815879  0.01841212],0,Unresolved,0.9815879,0.018412123
3589,9f441b71-4385-4f8a-93d8-169ee69073ec,10,Unresolved,Kinder Morgan to develop plan to re-establish bank.,Unresolved,0,[0.9791196  0.02088038],0,Unresolved,0.9791196,0.020880384
3590,9f441b71-4385-4f8a-93d8-169ee69073ec,11,Unresolved,Kinder Morgan will work with the Municipality of Jasper to develop and implement a plan in 2013.,Unresolved,0,[0.9882522  0.01174776],0,Unresolved,0.9882522,0.01174776
3592,9f441b71-4385-4f8a-93d8-169ee69073ec,13,Resolved,nan,Resolved,1,[0.03842379 0.96157616],1,Resolved,0.038423788,0.96157616
3594,9f441b71-4385-4f8a-93d8-169ee69073ec,15,Unresolved,Monitor in spring 2013 for vegetation establishment.,Unresolved,0,[0.99095786 0.00904212],0,Unresolved,0.99095786,0.009042121
3595,9f441b71-4385-4f8a-93d8-169ee69073ec,16,Resolved,nan,Resolved,1,[0.03468685 0.96531314],1,Resolved,0.03468685,0.96531314
3596,9f441b71-4385-4f8a-93d8-169ee69073ec,17,Unresolved,J   Continue risk management and sampling at the Valemount and Jasper construction yards as per recommendations in future <s>monitoring reports.</s>asper - Perimeter fencing removal and deactivation and restoration of access road is planned for spring 2013.,Unresolved,0,[0.41423956 0.5857605 ],1,Resolved,0.41423956,0.5857605
3597,9f441b71-4385-4f8a-93d8-169ee69073ec,18,Resolved,nan,Resolved,1,[0.03567396 0.9643261 ],1,Resolved,0.03567396,0.9643261
3598,9f441b71-4385-4f8a-93d8-169ee69073ec,19,Unresolved,Monitor in 2013 for woody vegetation growth and population health.,Unresolved,0,[0.9905889  0.00941108],0,Unresolved,0.9905889,0.009411083
3599,9f441b71-4385-4f8a-93d8-169ee69073ec,20,Unresolved,Monitor for grass vegetation establishment in 2013.,Unresolved,0,[0.99059045 0.00940959],0,Unresolved,0.99059045,0.009409588
3600,9f441b71-4385-4f8a-93d8-169ee69073ec,21,Resolved,nan,Resolved,1,[0.03909301 0.9609069 ],1,Resolved,0.039093014,0.9609069
3601,9f441b71-4385-4f8a-93d8-169ee69073ec,22,Unresolved,Monitor for vegetation establishment on the west side of the pump station in 2013.,Unresolved,0,[0.9886641  0.01133596],0,Unresolved,0.9886641,0.011335959
3602,9f441b71-4385-4f8a-93d8-169ee69073ec,23,Unresolved,Monitor for vegetation establishment on the west side of the pump station in 2013.,Unresolved,0,[0.9864174  0.01358263],0,Unresolved,0.9864174,0.013582629
3603,9f441b71-4385-4f8a-93d8-169ee69073ec,24,Unresolved,Monitor for vegetation establishment on the northeast side of the scraper trap facility in 2013.,Unresolved,0,[0.9907149  0.00928509],0,Unresolved,0.9907149,0.009285088
3707,a7d32500-cb44-41ae-8c61-fbf7ce97a052,1,Resolv ed,Generally  this is a very wet area and access is limited (foot access only  during the PCEM work).  Hand seeding and fertilizer application w as completed on areas with little or w eak v egetativ e cov er.  Seed mix tures and application rates v aried to meet site specific requirements (Photo 1 in Section 5.2).  All construction debris w as collected and remov ed from site.  No further action required.,Resolved,1,[0.00351105 0.9964889 ],1,Resolved,0.003511047,0.9964889
3708,a7d32500-cb44-41ae-8c61-fbf7ce97a052,2,Resolv ed,No action required,Resolved,1,[7.2606851e-04 9.9927396e-01],1,Resolved,0.000726069,0.99927396
3709,a7d32500-cb44-41ae-8c61-fbf7ce97a052,3,Resolv ed,No action required,Resolved,1,[6.7492045e-04 9.9932516e-01],1,Resolved,0.00067492,0.99932516
3710,a7d32500-cb44-41ae-8c61-fbf7ce97a052,4,Resolv ed,No action required,Resolved,1,[7.087167e-04 9.992913e-01],1,Resolved,0.000708717,0.9992913
3711,a7d32500-cb44-41ae-8c61-fbf7ce97a052,5,Resolv ed,Inform the Westcoast Lands personnel of this concern and add this area  into  the  ongoing  Westcoast  w eed  management  program for future treatment as appropriate (see footnote at end of this table).,Resolved,1,[0.98773533 0.01226472],0,Unresolved,0.98773533,0.012264723
